split,sentiment,review,happiness_score
test,pos,"""Porgy & Bess"" was the very first movie my parents ever took me to see. Even at the tender age of 5 years, I was so greatly moved by the drama that I cried aloud at the screen ""Crown, PLEASE don't take Bess!"" I was fortunate enough to see the one TV broadcast of ""Porgy & Bess"" so many years ago and now all I have are the great memories (and the record album) to remember this wonderful, wonderful movie. I have been waiting and wishing and hoping that one day I might own a copy of ""Porgy & Bess"" - but it doesn't look like it will happen. What is the hold up? Obviously, there is enough public interest in this movie to warrant a release. After all these years, I remember it and it sure seems like I'm not alone. This movie is brimming with human emotion - jealousy, lust, anger, bravery, determination. ""Porgy & Bess"" is a buried gem that deserves to be brought forth into the light for a new audience to admire and an old audience to relish.",5.968999999999999
train,pos,"The 1960's TV series Bewitched owes it's idea from this movie. This is the movie that Jimmy Stewart & Kim Novak made right after they were cast together in Vertigo by Alfred Hitchcock. This one is not as obsessive as that one but Novak is just as captivating.<br /><br />This was Jack Lemmons 10th movie and he is good in support here as well as Ernie Kovacs. The movie has a lot of good things about it. Hermine Gingold is very good in this movie, almost as good in support here as she was in The Music Man. The cast is very solid.<br /><br />This movie has a late 1950's New York City feel & a cat that is as hexing as any feline in any movie. It is well worth watching as it is a love story with all the emotion of any, & a little magic too boot.<br /><br />It is not Vertigo but I think because it followed that movie, viewers then did not rate it as good as it deserved - sure am glad that William Asher saw it, so that the 1960's series got created. I am not so glad about what Will Ferrell did to it on the big screen, this movie is much better than that.",6.452340425531916
train,pos,"When I first got my N64 when I was five or six,I fell in love with it,and my first game was Super Mario 64.And I LOVED IT!The graphics were great for it's time,a good plot,great courses and above all,the best music I heard in a Nintendo game.<br /><br />I don't remember the plot completely,but I think Princess Peach was kidnapped by Bowser,and Mario has to rescue her.The object of the game is to get 120 stars from the curses in the castle.Each had about five or six challnges to get the stars.There are secert parts of the castle,where you can get more stars.But of course,you have beat Bowser.*I think there are three levels to beat Bowser on* Lets start with the characters.Mario is the main character,and gets helpful advice from Toad,so he is basically one of your only alliances.I heard that Luigi and Yoshi are in the game towards the end.The main villain is Bowser,and there are a bunch of other characters like Boo and Goomba.The characters are really great.<br /><br />Next,how about the graphics?People say Gameplay is more important then the graphics,and I agree completely.But with he great plot,there are great graphics.Especially for it's time.I have a whole bunch of other Nintendo games like 007 and their graphics don't compare to Super Mario.Bright colors,great effects and awesome sound effects.I found the graphics in the water courses very very good.Next to the Bowser world ones,it has the best graphics in the game.<br /><br />Now,the music.This is my favorite part of the game.Growing up,when I played this at a young age,I'd gladly leave the game on all night so the music would put me to sleep.Especially the music from Jolly Roger Bay,which was peaceful and wonderful.There are others that are great too,especially in,once again,the worlds with Bowser,are the ones that stick with me the most and are my favorites.<br /><br />This game was my favorite past time as a developing gamer,and I love it.This game gets 10/10 or *****(5)/*****(5) GO PLAY THE GAME!",6.721495327102802
train,pos,"I grew up on this movie and I can remember when my brother and I used to play in the backyard and pretend we were in Care-a-lot. Now, after so many years have passed, I get to watch the movie with my daughter and watch her enjoy it. If you are parent and you have not watched this movie with your children, then you should, just so you hold them in your arms and watch them get thrilled over the care bears and care-a-lot! The songs, especially ""Forever Young"" are very sweet and memorable. Parents, I highly recommend this movie for all kids so they can learn how enjoyable caring for others can be! When it comes down to all the trash that is on TV, you can raise your children to have the right frame of mind about life with movies like these.",6.515625
test,neg,"this is a dreadful adaption of Charles Kingsley's story. The animation is, to put it bluntly, awful. And the songs are a disgrace to film songs, epsecially the ""high cockororim"" song, which they keep repeating. I feel sorry for Jon Pertwee and David Jason, 2 of Britain's finest talents, providing the voice for the depressing animation sequence. Bernerd Cirbbins tries his best to perform in this awful production ,but fails.<br /><br />Avoid this film at all costs, even if it is the last film on this planet!",5.308333333333333
test,neg,"Nothing special to see here, the animation has being outdated and the plot is a typical futuristic era. This film has an original story, but if it doesn't have an original plot or characters, so in my opinion it's not worth seeing. I'm not saying that the movie was bad, it was just a typical anime story and I thought I watched this movie like a thousand times. So if you are looking for something original see another thing.",5.752173913043477
train,pos,"First of all, in defense of JOAN FONTAINE, it must be said that Ginger Rogers would have been terribly miscast as Alyce, the young British lady who has the title role. Fontaine makes a fetching picture as the heroine here, but her acting inexperience shows badly and her dancing is better left unmentioned. Fortunately, she went on to better things.<br /><br />But here it's FRED ASTAIRE, GEORGE BURNS and GRACIE ALLEN who get the top billing--and they are excellent. Fans of Burns & Allen will be surprised at how easily they fit into Astaire's dance routines. Especially interesting is the big fun house routine that won choreographer Hermes Pans an Oscar. They join Astaire in what has to be the film's most inventive highlight.<br /><br />Unfortunately, not much can be said for the slow pacing of the story--nor some of the stale situations which call for a lot of patience from the viewer. It must be said that some of the humor falls flat and the usual romantic misunderstandings that occur in any Fred Astaire film of this period are given conventional treatment. Only the musical interludes give the story the lift it needs.<br /><br />Some pleasant Gershwin tunes pop up once in awhile but not all of them get the treatment they deserve. The nice supporting cast includes Reginald Gardiner, at his best in a polished comic performance as a conniving servant, Constance Collier and Montagu Love (as Joan's father mistaken as a gardener by Astaire).<br /><br />It's a lighthearted romp whenever Burns & Allen are around to remind us how funny they were in their radio and television days. Both of them are surprisingly adept in keeping up with Astaire's footwork.<br /><br />Director George Stevens makes sure that Joan Fontaine's hillside dance number with Fred is filmed at a discreet distance but clever camera-work cannot disguise the fact that she is out of her element as Astaire's dance partner, something she seems painfully aware of.",6.261621621621622
test,neg,"This movie is truly amazing,over the years I have acquired a taste for Japanese Monster movies and am well aware that early examples of this genre can be poor. However this one reaches a new low, as it follows the adventures of Johnny Sokko(?), a young boy who controls a Giant Robot, and his fight against the evil Gargoyle Gang, who seem to have an endless supply of horrid giant monsters at their disposal.",5.2524999999999995
train,pos,"Without a doubt, Private Lessons II is the greatest movie I have ever seen. A Japanese import (poorly) translated into English, its a joy to watch. Not much of it makes sense, but that doesn't matter. It's the greatest comedy around without ever being intentionally funny.<br /><br />The film is rare and unavailable on video, but I have caught it a couple of time late, late at night on pay cable. My taped copy has been watched dozens and dozens of times as I slowly, person-by-person, introduce this film gem to the world.<br /><br />Joanna Pacula plays the tutor/lover to Ken, our hero. (She apparently was just working for her check.) Ken is played by Goro Inagaki, of the Japanese pop band SMAP, who gives it his all and has great hair through out the movie. Stacy Edwards, of ""In the Company of Men"" fame, shows up in the movie too and is probably happy that she found other film work afterwards.<br /><br />It takes at least three viewings to sorta figure out what the plot is. On repeating viewing you can enjoy elements like the abnormal amount of vases Ken has in his house (at least 50) or that Ken is wearing a shirt with embroidered husks of corn in the movie's finale.<br /><br />The movie is predictable, but highly quotable. My friends and I reenact entire scenes. Yes, it sounds like we're lame losers and we are ... but we're lame losers who have seen ""Private Lessons II."" Be one of ten people in the world who have seen this movie. You'll thank me for it.",6.063424657534246
test,pos,"The problem with TV today is that people have been spoiled by ""lite"" TV viewing. This type of television show is the equivalent of elevator music or ""easy listening"" jazz. The typical viewers idea of ""continuity"" is remembering who got voted off the island last week and wondering who will be the next to go. Show them a program like surface, Firefly, Dr. Who, or anything with a plot arc of more than three episodes and...well, they'll just flip back to Survivor.<br /><br />95% of the sheep watching TV don't want to rack their brains. They want excuses to not think. They want to make sure the ""boob tube"" lives up to its name...and they don't want shows that try and go any other route. Because of this, Surface and many other high-quality shows that should have lasted far longer have gotten the axe.<br /><br />TV viewers don't want stories, or morals, or philosophy, or anything over a third grade vocabulary level. They want people eating earthworms, or over-dramatized ""real life"" series (no such thing! You cannot observe something without changing the very nature of what you observe) or hormonal shows involving groups of people having trysts and then bragging about it to their friends.<br /><br />Today's television is nothing but a wasteland, and the few diamonds you can pick out of the dust are just tossed out because no one even knows what a diamond is anymore. Surface was one of those diamonds.",6.001142857142858
test,neg,"This film is really really bad, it is not very well done and is a lack lustre attempt at something but I am not sure what. I watched it and was very disappointed. It promised a lot, but delivered nothing at all. The characters are shallow and wooden, and the music, if you can call it that, is dreadful. There are of course all the creatures and animated beings, but they are so poorly done that it does not come across as anything other than a third rate movie. It is a real shame that more attention could not have been spent to the special effects, not the be all and end all of a movie I agree, but in a movie that is based around them, it's a very important factor. For me, a very sad attempt, and should be avoided.",5.538974358974359
test,neg,"A stupid teen supposed comedy that revolves a serious of misunderstanding including (but not limited to) a hooker being confused with a foreign exchange student, girlfriend beating, a girl loving a gay guy, and the straight guy that loves her, and bitchy gossipers. None of the following is funny or even amusing. Nation Lampoon's use to be hilarious back in the day. Now the name is sadly synonymous with crap. And this one is NO exception. I use to think Topenga was kinda cute when she was on ""Boy Meets World"", but it seems she let herself go (and yes I know she has a name, but into she does ANYthing else worthwhile, she'll stay as Topenga) <br /><br />My Grade: D<br /><br />Eye Candy: Kati Lohmann gets topless; Boti Bliss relies on a body double (BOOOOO!!!)",5.89764705882353
train,pos,"From the very beginning I was so excited to see this movie. The poster is possibly the funniest I've ever seen for a movie. I immediately bought one for my dorm this September.<br /><br />Every element came together in this movie so beautifully. It's not often you see a movie with so many penis, gay, and racial jokes so praised by critics. Carell and the rest of the cast deliver each raunchy joke sensationally. Carell remains sweet throughout the entire movie where by the end of the movie you're rooting for him to succeed in his relationship more than you are for him to get laid. The supporting cast is brutal, each of them having some problems with the ladies themselves.<br /><br />One of the things about this movie is the abundance of memorable scenes we're given. This is what makes a movie easy to remember fondly. This movie will often be brought up when the words ""chest waxing"" and ""condoms"" are mentioned in conversation.<br /><br />Watching it in the theater I was surprised how many older people were there to watch it. I saw a group of four mid-60s women come in. Despite an older audience, this movie still filled the entire theater with laughter.<br /><br />I think the type of people who will like this are the fans of the Office and Steve Carell. A lot of the jokes remind me of the type of jokes you'd see on Family Guy, too. The movie is shallow enough for adolescent boys and still sweet and clever enough for middle aged women.<br /><br />I don't recommend going to this movie if you aren't a fan of profanity or if you are easily offended. However, when you are at the movie, just remember this movie is all in good humor. The jokes aren't ""gay jokes,"" they're just jokes. And they're funny.",6.604146341463416
train,pos,"I approach films about talking animals with care. For every wonderful one like Babe, you get an equally poor one like the dreadful remake of Homeward Bound: The Incredible Journey. Or in the case of Cats & Dogs, you have a great idea for a film not living up to its potential. When I heard about Paulie, the premise of a wisecracking parrot didn't exactly fill me with confidence. But I found the film a pleasant surprise. And it manages to sneak its way into your heart without you realising.<br /><br />A Russian janitor, Misha Vilyenkov (Tony Shaloub) gets a job in a research laboratory. One day, he hears singing coming from the basement. And when he investigates, he finds a parrot in its cage singing its little heart out. Misha becomes fascinated with the bird, especially when it turns out the parrot can not only sing, it can talk. And not a few phrases either. Its a parrot you can actually make conversation with.<br /><br />The parrot is called Paulie (voiced by Jay Mohr), and recognises a fellow castaway in Misha. Wondering how this world to the wise bird ended up in a dusty basement, Misha convinces Paulie to tell him his life story. Which all began when he was a baby, and in the care of Marie, a five year old girl with a stutter. The two of them became birds of a feather (OK, bad pun!).<br /><br />When Marie's parents became concerned about her close friendship with a bird, they considered sending him away. And they finally did after Marie nearly injured herself in a fall after teaching Paulie to fly. Desperate to be reunited with her, Paulie begins a long journey across America, which includes a diverse number of new owners, flying great distances, and even ending up behind bars. Of a cage that is!<br /><br />Paulie was one of a number of talking animal films released by DreamWorks in the late 90s. And although it wasn't afforded the same recognition or box-office success of Babe, Paulie succeeds on quite a few levels, and is an occasional work of striking intelligence.<br /><br />Jay Mohr's stand-up style of acting is well suited to the part of Paulie. He never plays the part as too smug, even if he is a bit of a smart Aleck. Paulie's worldly, but he is also naive in his way.<br /><br />Because he's lived a rather sheltered life with Marie, when he's taken away, he has to fend for himself for the first time. And when he falls into the hands of different owners, they make promises to Paulie to reunite him with Marie, which he believes. Only for those promises to be broken time and again.<br /><br />Paulie is admittedly a little episodic. It follows the eclectic people Paulie ends up with, and how he slowly gets brought closer and closer to Marie. He first winds up in a pawn shop, where he is adopted by Ivy (Gena Rowlands), a kindly woman who teaches him the meaning of manners. She sympathises with Paulie's situation, and drives an RV across America to find Marie.<br /><br />Paulie is an occasionally very touching film. His scenes with Ivy are some of the best. Wonderful moments of Paulie perched on her shoulder singing Tom Jones numbers. The way she instills in him the need for hope is great, and some of the dialogue is quite well written and even thought-provoking: <br /><br />""There are things in life you put off, because you think you're gonna do them later. But the real thing Ivy taught me is you gotta live like there may not be a later.""<br /><br />The scene where Ivy passes away en route leaving Paulie all alone is a very heart-rending moment. And the sequence where he plucks up the courage to fly for the first time across the Grand Canyon, soaring majestically is such a beautifully composed scene it stays with you for hours after the film's over.<br /><br />Despite the occasional sad moment, there are plenty of laughs to be had. Paulie falls in with a group of performing parrots at a Spanish outdoor restaurant. The animatronic effects here are really excellent as four birds do a perfectly choreographed dance number. And Paulie even gets to have a romance. Which is dashed when he falls in with a petty thief (played by Mohr as well). That may be the only complaint I have. As soon as you get comfortable with one situation, the film then moves Paulie on to another.<br /><br />The scene where Paulie is taught to steal money from ATM machines is funny, but a little disturbing too. I'm amazed DreamWorks were granted the chance to include such a scene in a kids film. And Paulie's diamond robbery is very Mission Impossible. He's caught in the act, and shipped off to the lab for animal testing, where he's remained ever since.<br /><br />The story finally comes full circle at the lab, where Misha vows to help Paulie. Of course they do find Marie. But the final revelation is a scene of such shocking intensity, I was left numb for several minutes. Paulie may never get the longevity Babe has, but I believe its an equally brilliant film. The same laughs. The same flawless effects. And the same surprising intelligence.<br /><br />A minor gem.",6.19758620689655
train,neg,"This film should have been only 10 minutes. I mean there is really only 10 minute worth of watchable content in this thing (I even hesitate to call it a movie). The opening credits of the film was somehow promising. As the film begins by short comments of the man himself, you really rub your hands and stay tuned for more footage from Cohen's life. Well, Nick Cave does a reasonable job covering one of Cohen's famous songs. The length of Cave's performance makes you even more eager to see more of Cohen whose wit and well spoken words have already tickled your fancy. But as it turns out Cave's performance is only the start of lengthy super boring performances by literally a bunch of no ones who don't even have a minimal attraction to keep you on your seat. I mean what does the filmmaker really think? five-minute close-up shots of wanna be singers in a fake concert in Australia!!! What does the filmmaker really think to insult the audience by adding ""fake applause"" to these endless nasty performances. The film is a perfect torture that shows you very little of what you came to see. There is not a single footage of Cohen's past. In fact, except for a few photographs of his early days as a singer/poet there is absolutely nothing! If you add up all the minutes that Cohen talks it may not even reach 10 minutes. But these 10 minutes are tortuously presented bit by bit in between disastrous camera-work that captures some of the most unattractive people screaming Cohen's lyrics. If you ever decided to waste your money on this film, DON'T! just throw it in the garbage and at least save your time.",5.77975
